Identifier 1,date,day,month,tissue type,Identifier 2,fl_mm,percent_n,percent_c,d15N,d13C
PRD209_9/9_WAL_480M_476FIN,9/9/12,9,9,fin,Walleye,480,6.8962011,23.7500676,15.629,-25.265
PRD23_3/24_WAL_480M_B25FIN,3/24/12,24,3,fin,Walleye,480,7.7273645,29.8163288,16.479,-26.897
PRD64_3/24_WAL_480M_B66FIN,3/24/12,24,3,fin,Walleye,480,7.4913195,29.0187872,15.542,-27.788
PRD118_7/7_WAL_485M_B282FIN,7/7/12,7,7,fin,Walleye,485,6.4894496,21.656579,15.948,-25.735
PRD193_9/9_WAL_485M_460FIN,9/9/12,9,9,fin,Walleye,485,6.1756592,22.3889155,15.57,-24.623
PRD157_9/8_WAL_490M_424FIN,9/8/12,8,9,fin,Walleye,490,6.1002495,19.9122116,15.223,-25.253
PRD166_9/8_WAL_490M_433FIN,9/8/12,8,9,fin,Walleye,490,6.1677748,20.4598146,15.132,-24.504
PRD166_9/8_WAL_490M_433FIN,9/8/12,8,9,fin,Walleye,490,6.1152572,20.3077573,15.438,-24.357
PRD182_9/8_WAL_490M_449FIN,9/8/12,8,9,fin,Walleye,490,5.9104038,20.1062664,15.119,-24.834
PRD185_9/9_WAL_490M_452FIN,9/9/12,9,9,fin,Walleye,490,6.2608859,19.8762344,15.087,-23.837
PRD202_9/9_WAL_490M_469FIN,9/9/12,9,9,fin,Walleye,490,6.1767006,21.8969267,15.32,-26.042
PRD215_9/9_WAL_490M_482FIN,9/9/12,9,9,fin,Walleye,490,5.910831,19.2596982,14.897,-23.979
PRD1_3/10_WAL_495M_20FIN,3/10/12,10,3,fin,Walleye,495,6.7576316,25.3070812,16.109,-27.381
PRD110_7/7_WAL_495M_B274FIN,7/7/12,7,7,fin,Walleye,495,5.3382536,18.027659,16.223,-24.564
PRD178_9/8_WAL_495M_445FIN,9/8/12,8,9,fin,Walleye,495,7.0359231,25.5386862,16.449,-25.868
PRD115_7/7_WAL_500F_B279FIN,7/7/12,7,7,fin,Walleye,500,6.3122986,22.5962363,15.414,-25.941
PRD135_7/8_WAL_500M_B113FIN,7/8/12,8,7,fin,Walleye,500,5.9634531,19.4509304,15.725,-26.496
PRD188_9/9_WAL_500M_455FIN,9/9/12,9,9,fin,Walleye,500,6.3464256,21.5968927,15.049,-24.725
PRD188_9/9_WAL_500M_455FIN,9/9/12,9,9,fin,Walleye,500,6.2200173,21.0880449,15.03,-24.568
PRD189_9/9_WAL_500M_456FIN,9/9/12,9,9,fin,Walleye,500,6.3795131,21.0267417,15.931,-24.192
PRD204_9/9_WAL_500M_471FIN,9/9/12,9,9,fin,Walleye,500,6.4468212,21.5591681,16.276,-23.281
PRD207_9/9_WAL_500M_474FIN,9/9/12,9,9,fin,Walleye,500,6.1276882,21.0431344,15.193,-24.839
PRD60_3/24_WAL_500M_B62FIN,3/24/12,24,3,fin,Walleye,500,6.8011408,26.5016021,15.72,-27.198
PRD192_9/9_WAL_505M_459FIN,9/9/12,9,9,fin,Walleye,505,6.2847887,20.8893773,14.967,-24.3
PRD121_7/7_WAL_510M_B285FIN,7/7/12,7,7,fin,Walleye,510,7.2918204,26.1000036,16.372,-26.909
PRD151_9/8_WAL_510F_418FIN,9/8/12,8,9,fin,Walleye,510,5.9608152,20.090772,15.953,-25.299
PRD153_9/8_WAL_510M_420FIN,9/8/12,8,9,fin,Walleye,510,5.993619,19.147068,16.24,-24.232
PRD159_9/8_WAL_510M_426FIN,9/8/12,8,9,fin,Walleye,510,6.2357268,20.5978898,15.575,-25.615
PRD194_9/9_WAL_510M_461FIN,9/9/12,9,9,fin,Walleye,510,6.8771984,25.0875013,15.272,-24.517
PRD211_9/9_WAL_510M_478FIN,9/9/12,9,9,fin,Walleye,510,5.6212698,18.8887974,15.88,-24.141
PRD222_10/12_WAL_510M_489FIN,10/12/12,12,10,fin,Walleye,510,6.4347255,25.8325724,14.483,-27.857
PRD222_10/12_WAL_510M_489FIN,10/12/12,12,10,fin,Walleye,510,6.041289,23.1181252,14.59,-27.11
PRD24_3/24_WAL_510M_B26FIN,3/24/12,24,3,fin,Walleye,510,7.4451318,28.7544073,16.333,-28.02
PRD47_3/24_WAL_510M_B49FIN,3/24/12,24,3,fin,Walleye,510,7.4185206,27.7729249,16.764,-25.437
PRD75_3/25_WAL_510M_B77FIN,3/25/12,25,3,fin,Walleye,510,7.0541485,26.3410877,15.555,-26.421
PRD112_7/7_WAL_520M_B276FIN,7/7/12,7,7,fin,Walleye,520,7.7335613,27.4463444,15.911,-26.738
PRD114_7/7_WAL_520M_B278FIN,7/7/12,7,7,fin,Walleye,520,6.2390471,22.0637531,15.435,-23.632
PRD197_9/9_WAL_520F_464FIN,9/9/12,9,9,fin,Walleye,520,5.7746716,19.2250085,15.556,-24.256
PRD219_10/11_WAL_520M_486FIN,10/11/12,11,10,fin,Walleye,520,5.6497721,19.1892079,15.786,-24.945
PRD173_9/8_WAL_530M_440FIN,9/8/12,8,9,fin,Walleye,530,7.213878,24.3298203,14.492,-25.608
PRD187_9/9_WAL_530F_454FIN,9/9/12,9,9,fin,Walleye,530,7.4244734,26.7970278,15.023,-25.437
PRD195_9/9_WAL_530F_462FIN,9/9/12,9,9,fin,Walleye,530,6.6232267,23.1362737,16.303,-25.612
PRD210_9/9_WAL_530M_477FIN,9/9/12,9,9,fin,Walleye,530,6.3638739,24.2990484,16.245,-24.145
PRD210_9/9_WAL_530M_477FIN,9/9/12,9,9,fin,Walleye,530,6.8063952,22.5434643,16.246,-23.645
PRD217_9/9_WAL_530M_484FIN,9/9/12,9,9,fin,Walleye,530,5.7900702,19.6992148,15.928,-23.698
PRD45_3/24_WAL_530M_B47FIN,3/24/12,24,3,fin,Walleye,530,7.1975824,27.0851203,16.429,-26.294
PRD155_9/8_WAL_535F_422FIN,9/8/12,8,9,fin,Walleye,535,6.3211338,23.3677755,15.836,-25.971
PRD155_9/8_WAL_535F_422FIN,9/8/12,8,9,fin,Walleye,535,7.1960985,20.7872526,15.711,-25.927
PRD152_9/8_WAL_540F_419FIN,9/8/12,8,9,fin,Walleye,540,6.3431046,21.1523374,15.329,-23.983
PRD154_9/8_WAL_540F_421FIN,9/8/12,8,9,fin,Walleye,540,6.3278416,20.9267239,16.044,-25.659
PRD40_3/24_WAL_540M_B42FIN,3/24/12,24,3,fin,Walleye,540,7.8538003,29.5379607,17.261,-23.923
